school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,Supera
GP,F,18,U,GT3,A,Superior,Superior,at_home,teacher,course,mother,De 15m a 30m,De 2h a 5h,0,yes,no,no,no,yes,yes,no,no,4,3,4,1,1,3,4,0,11,11,Si
GP,F,17,U,GT3,T,Primaria_Superior,Primaria_Superior,at_home,other,course,father,Inf. 15m,De 2h a 5h,0,no,yes,no,no,no,yes,yes,no,5,3,3,1,1,3,2,9,11,11,Si
GP,F,15,U,LE3,T,Primaria_Superior,Primaria_Superior,at_home,other,other,mother,Inf. 15m,De 2h a 5h,0,yes,no,no,no,yes,yes,yes,no,4,3,2,2,3,3,6,12,13,12,Si
GP,F,15,U,GT3,T,Superior,Grado_9,health,services,home,mother,Inf. 15m,De 5h a 10h,0,no,yes,no,yes,yes,yes,yes,yes,3,2,2,1,1,5,0,14,14,14,Si
GP,F,16,U,GT3,T,Secundaria,Secundaria,other,other,home,father,Inf. 15m,De 2h a 5h,0,no,yes,no,no,yes,yes,no,no,4,3,2,1,2,5,0,11,13,13,Si
GP,M,16,U,LE3,T,Superior,Secundaria,services,other,reputation,mother,Inf. 15m,De 2h a 5h,0,no,yes,no,yes,yes,yes,yes,no,5,4,2,1,2,5,6,12,12,13,Si
GP,M,16,U,LE3,T,Grado_9,Grado_9,other,other,home,mother,Inf. 15m,De 2h a 5h,0,no,no,no,no,yes,yes,yes,no,4,4,4,1,1,3,0,13,12,13,Si
GP,F,17,U,GT3,A,Superior,Superior,other,teacher,home,mother,De 15m a 30m,De 2h a 5h,0,yes,yes,no,no,yes,yes,no,no,4,1,4,1,1,1,2,10,13,13,Si
GP,M,15,U,LE3,A,Secundaria,Grado_9,services,other,home,mother,Inf. 15m,De 2h a 5h,0,no,yes,no,no,yes,yes,yes,no,4,2,2,1,1,1,0,15,16,17,Si
GP,M,15,U,GT3,T,Secundaria,Superior,other,other,home,mother,Inf. 15m,De 2h a 5h,0,no,yes,no,yes,yes,yes,yes,no,5,5,1,1,1,5,0,12,12,13,Si
GP,F,15,U,GT3,T,Superior,Superior,teacher,health,reputation,mother,Inf. 15m,De 2h a 5h,0,no,yes,no,no,yes,yes,yes,no,3,3,3,1,2,2,2,14,14,14,Si
